Reactions standart Gibbe energy,,,,,,
Reaction index,Reaction name,ec number,Formula,Sub-System,standart Gibbs energy (kJ/mol),standart deviation (kJ/mol)
584,dihydrodipicolinate synthase,4.2.1.52, (-1) aspsa[c] +  (-1) pyr[c] <=>  (1) 23dhdp[c] +  (2) h2o[c],Threonine and Lysine Metabolism,-91.66485274,6.85784795
585,dihydrofolate reductase,1.5.1.3, (-1) dhf[c] +  (-1) nadph[c] <=>  (1) nadp[c] +  (1) thf[c],Cofactor and Prosthetic Group Biosynthesis,-22.07965254,1.699357503
586,dihydrofolate synthase,6.3.2.12, (-1) atp[c] +  (-1) dhpt[c] +  (-1) glu-DASH-L[c] <=>  (1) adp[c] +  (1) dhf[c] +  (1) pi[c],Cofactor and Prosthetic Group Biosynthesis,-15.33433769,4.171329953
587," 1,4-dihydroxy-2-naphthoate octaprenyltransferase",unknown, (-1) dhna[c] +  (-1) octdp[c] <=>  (1) 2dmmql8[c] +  (1) co2[c] +  (1) ppi[c],Cofactor and Prosthetic Group Biosynthesis,0,1000000
588,dihydroneopterin aldolase,unknown, (-1) dhnpt[c] <=>  (1) 6hmhpt[c] +  (1) gcald[c],Cofactor and Prosthetic Group Biosynthesis,48.91866391,6.819492857
589,dihydoorotic acid dehydrogenase (quinone8),1.3.3.1, (-1) dhor-DASH-S[c] +  (-1) q8[c] <=>  (1) orot[c] +  (1) q8h2[c],Purine and Pyrimidine Biosynthesis,-98.44466714,9.449466451
590,dihydroorotic acid (menaquinone-8),1.3.3.1, (-1) dhor-DASH-S[c] +  (-1) mqn8[c] <=>  (1) mql8[c] +  (1) orot[c],Purine and Pyrimidine Biosynthesis,-98.44466714,9.449466451
591,dihydroorotase,3.5.2.3, (-1) dhor-DASH-S[c] +  (-1) h2o[c] <=>  (1) cbasp[c],Purine and Pyrimidine Biosynthesis,-4.11408649,2.324844903
592," 2,3-dihydroxyphenylpropionate dehydrogenase",unknown, (-1) cechddd[c] +  (-1) nad[c] <=>  (1) dhpppn[c] +  (1) nadh[c],Alternate Carbon Metabolism,-108.4038982,11.9706004
593,diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),3.5.4.26, (-1) 25drapp[c] +  (-1) h2o[c] <=>  (1) 5apru[c] +  (1) nh4[c],Cofactor and Prosthetic Group Biosynthesis,14.30901816,5.153037389
594,dihydropteroate synthase,2.5.1.15, (-1) 4abz[c] +  (-1) 6hmhptpp[c] <=>  (1) dhpt[c] +  (1) ppi[c],Cofactor and Prosthetic Group Biosynthesis,-42.78939479,3.478588187
595," 4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)",unknown, (-1) dhptd[c] <=>  (1) h2o[c] +  (1) hmfurn[c],Methionine Metabolism,-63.97787202,3.180236054
596,dihydroneopterin triphosphate 2'-epimerase,unknown, (-1) ahdt[c] <=>  (1) dhmptp[c],Cofactor and Prosthetic Group Biosynthesis,0,0
597, 3-dehydroquinate synthase,unknown, (-1) 2dda7p[c] <=>  (1) 3dhq[c] +  (1) pi[c],"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-40.92301547,8.579553174
598," 3-dehydroquinate dehydratase, irreversible",4.2.1.10, (-1) 3dhq[c] <=>  (1) 3dhsk[c] +  (1) h2o[c],"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-6.664301145,3.770240241
599,dIMP transport via diffusion (extracellular to periplasm),unknown, (-1) dimp[e] <=>  (1) dimp[p],"Transport, Outer Membrane Porin",0,0
600,deoxyinosine transport in via proton symport (periplasm),unknown, (-1) din[p] <=>  (1) din[c],"Transport, Inner Membrane",0,0
601,deoxyinosine transport via diffusion (extracellular to periplasm),unknown, (-1) din[e] <=>  (1) din[p],"Transport, Outer Membrane Porin",0,0
602," 2,5-diketo-D-gluconate reductase",unknown, (-1) 25dkglcn[c] +  (-1) nadph[c] <=>  (1) 2dhguln[c] +  (1) nadp[c],Alternate Carbon Metabolism,-28.51286146,2.758143531
603," 2,5-diketo-D-gluconate reductase (NADH)",unknown, (-1) 25dkglcn[c] +  (-1) nadh[c] <=>  (1) 5dglcn[c] +  (1) nad[c],Alternate Carbon Metabolism,-26.11569673,1.638280533
604," 2,5-diketo-D-gluconate reductase (NADPH)",unknown, (-1) 25dkglcn[c] +  (-1) nadph[c] <=>  (1) 5dglcn[c] +  (1) nadp[c],Alternate Carbon Metabolism,-24.10669468,1.638280533
605," 2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",unknown, (-1) dkmpp[c] +  (-1) h2o[c] +  (-1) o2[c] <=>  (1) 2kmb[c] +  (1) for[c] +  (1) pi[c],Arginine and Proline Metabolism,-524.5151104,2.181690696
606," 2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",unknown, (-1) dkmpp[c] +  (-3) h2o[c] +  (-2) nad[c] <=>  (1) 2kmb[c] +  (1) for[c] +  (2) nadh[c] +  (1) pi[c],Arginine and Proline Metabolism,-75.537516,3.969858221
607,dimethylallyltranstransferase,2.5.1.1, (-1) dmpp[c] +  (-1) ipdp[c] <=>  (1) grdp[c] +  (1) ppi[c],Cofactor and Prosthetic Group Biosynthesis,-65.33506686,2.051949685
608, 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),unknown, (-1) h2mb4p[c] +  (-1) nadh[c] <=>  (1) dmpp[c] +  (1) h2o[c] +  (1) nad[c],Cofactor and Prosthetic Group Biosynthesis,-62.95062399,2.474341104
609, 3-Dimethylubiquinonol 3-methyltransferase,unknown, (-1) 2omhmbl[c] +  (-1) amet[c] <=>  (1) ahcys[c] +  (1) q8h2[c],Cofactor and Prosthetic Group Biosynthesis,0,1000000
610,Dimethyl sulfoxide reductase (Menaquinol 8),unknown, (-1) dmso[c] +  (-1) mql8[c] <=>  (1) dms[c] +  (1) h2o[c] +  (1) mqn8[c],Oxidative Phosphorylation,-135.5137916,1.732050808
611,Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm),unknown, (-1) dmso[p] +  (-1) mql8[c] <=>  (1) dms[p] +  (1) h2o[p] +  (1) mqn8[c],Oxidative Phosphorylation,-135.5137916,1.732050808
612,Dimethyl sulfoxide reductase (Demethylmenaquinol 8),unknown, (-1) 2dmmql8[c] +  (-1) dmso[c] <=>  (1) 2dmmq8[c] +  (1) dms[c] +  (1) h2o[c],Oxidative Phosphorylation,-135.5137916,1.732050808
613,Dimethyl sulfoxide reductase (Demethylmenaquinol 8) (periplasm),unknown, (-1) 2dmmql8[c] +  (-1) dmso[p] <=>  (1) 2dmmq8[c] +  (1) dms[p] +  (1) h2o[p],Oxidative Phosphorylation,-135.5137916,1.732050808
614,Dimethyl sulfoxide transport via diffusion (extracellular to periplasm),unknown, (-1) dmso[e] <=>  (1) dmso[p],"Transport, Outer Membrane Porin",0,0
615,Dimethyl sulfide transport via diffusion (extracellular to periplasm),unknown, (-1) dms[e] <=>  (1) dms[p],"Transport, Outer Membrane Porin",0,0
616,Sink needed to allow 4-hydroxy-benzoate to leave system,unknown, (-1) 4hba[c] <=> ,,0,1000000
617,Sink needed to allow 5'-deoxyribose to leave system,unknown, (-1) 5drib[c] <=> ,,0,1000000
618,Sink needed to allow aminoacetaldehyde to leave system,unknown, (-1) aacald[c] <=> ,,0,1000000
619,Sink needed to allow 4-hydroxy-5-methyl-3(2H)-furanone to leave system,unknown, (-1) hmfurn[c] <=> ,,0,1000000
620,Sink needed to allow oxamate to leave system,unknown, (-1) oxam[c] <=> ,,0,1000000
621,Dihydroneopterin monophosphate dephosphorylase,unknown, (-1) dhpmp[c] +  (-1) h2o[c] <=>  (1) dhnpt[c] +  (1) pi[c],Cofactor and Prosthetic Group Biosynthesis,-41.57001393,6.686687488
622,Dihydroneopterin triphosphate pyrophosphatase,unknown, (-1) ahdt[c] +  (-1) h2o[c] <=>  (1) dhpmp[c] +  (1) ppi[c],Cofactor and Prosthetic Group Biosynthesis,-37.48265598,1.782769253
623," 2,3 dioxo-L-gulonate reductase",unknown, (-1) 23doguln[c] +  (-1) nadh[c] <=>  (1) 3dhguln[c] +  (1) nad[c],Alternate Carbon Metabolism,-21.70974919,1.062307243
624,dopamine transport via diffusion (extracellular to periplasm),unknown, (-1) dopa[e] <=>  (1) dopa[p],"Transport, Outer Membrane Porin",0,0
625,dephospho-CoA kinase,2.7.1.24, (-1) atp[c] +  (-1) dpcoa[c] <=>  (1) adp[c] +  (1) coa[c],Cofactor and Prosthetic Group Biosynthesis,-2.341556671,3.635204461
626, 2-dehydropantoate 2-reductase,1.1.1.169, (-1) 2dhp[c] +  (-1) nadph[c] <=>  (1) nadp[c] +  (1) pant-DASH-R[c],Cofactor and Prosthetic Group Biosynthesis,-16.28431077,3.770240241
627,deoxyribose-phosphate aldolase,4.1.2.4, (-1) 2dr5p[c] <=>  (1) acald[c] +  (1) g3p[c],Alternate Carbon Metabolism,19.53889758,2.119194123
628,DsbA protein reoxidation reaction (aerobic),unknown, (-1) dsbard[p] +  (-1) q8[c] <=>  (1) dsbaox[p] +  (1) q8h2[c],Unassigned,0,1000000
629,DsbA protein reoxidation reaction (anaerobic),unknown, (-1) dsbard[p] +  (-1) mqn8[c] <=>  (1) dsbaox[p] +  (1) mql8[c],Unassigned,0,1000000
630,DsbC:glutathione thiotransferase,unknown, (-1) dsbcox[p] +  (-2) gthrd[p] <=>  (1) dsbcrd[p] +  (1) gthox[p],Unassigned,0,1000000
631,DsbD reductase,unknown, (-1) dsbdox[c] +  (-1) trdrd[c] <=>  (1) dsbdrd[c] +  (1) trdox[c],Unassigned,0,1000000
632,DsbG:glutathione thiotransferase,unknown, (-1) dsbgox[p] +  (-2) gthrd[p] <=>  (1) dsbgrd[p] +  (1) gthox[p],Unassigned,0,1000000
633,D-serine dehydrogenase,unknown, (-1) nadp[c] +  (-1) ser-DASH-D[c] <=>  (1) 2amsa[c] +  (1) nadph[c],Glycine and Serine Metabolism,21.49183923,1.780253755
634,D-serine transport in via proton symport (periplasm),unknown, (-1) ser-DASH-D[p] <=>  (1) ser-DASH-D[c],"Transport, Inner Membrane",0,0
635,D-serine transport via diffusion (extracellular to periplasm),unknown, (-1) ser-DASH-D[e] <=>  (1) ser-DASH-D[p],"Transport, Outer Membrane Porin",0,0
636,dTMP kinase,2.7.4.9, (-1) atp[c] +  (-1) dtmp[c] <=>  (1) adp[c] +  (1) dtdp[c],Nucleotide Salvage Pathway,-0.953553561,3.635204461
637,dTMP transport via diffusion (extracellular to periplasm),unknown, (-1) dtmp[e] <=>  (1) dtmp[p],"Transport, Outer Membrane Porin",0,0
638,dUMP transport via diffusion (extracellular to periplasm),unknown, (-1) dump[e] <=>  (1) dump[p],"Transport, Outer Membrane Porin",0,0
639,deoxyuridine kinase (ATP:Deoxyuridine),unknown, (-1) atp[c] +  (-1) duri[c] <=>  (1) adp[c] +  (1) dump[c],Nucleotide Salvage Pathway,-55.60646987,5.167700046
640,deoxyuridine phosphorylase,unknown, (-1) duri[c] +  (-1) pi[c] <=>  (1) 2dr1p[c] +  (1) ura[c],Nucleotide Salvage Pathway,-35.98674804,6.464361027
641,deoxyuridine transport in via proton symport (periplasm),unknown, (-1) duri[p] <=>  (1) duri[c],"Transport, Inner Membrane",0,0
642,deoxyuridine transport via diffusion (extracellular to periplasm),unknown, (-1) duri[e] <=>  (1) duri[p],"Transport, Outer Membrane",0,0
643,dUTP diphosphatase,3.6.1.23, (-1) dutp[c] +  (-1) h2o[c] <=>  (1) dump[c] +  (1) ppi[c],Nucleotide Salvage Pathway,-74.89887286,5.436962589
644, 1-deoxy-D-xylulose reductoisomerase,unknown, (-1) dxyl5p[c] +  (-1) nadph[c] <=>  (1) 2me4p[c] +  (1) nadp[c],Cofactor and Prosthetic Group Biosynthesis,-21.35161243,1.332497812
645, 1-deoxy-D-xylulose 5-phosphate synthase,unknown, (-1) g3p[c] +  (-1) pyr[c] <=>  (1) co2[c] +  (1) dxyl5p[c],Cofactor and Prosthetic Group Biosynthesis,-44.11669868,2.197520996
646, 1-Deoxy-D-xylulose kinase,unknown, (-1) atp[c] +  (-1) dxyl[c] <=>  (1) adp[c] +  (1) dxyl5p[c],Cofactor and Prosthetic Group Biosynthesis,-11.8907542,1.280208552
647,D-lactate transport via proton symport (periplasm),unknown, (-1) lac-DASH-D[p] <=>  (1) lac-DASH-D[c],"Transport, Inner Membrane",0,0
648,D-lactate transport via diffusion (extracellular to periplasm),unknown, (-1) lac-DASH-D[e] <=>  (1) lac-DASH-D[p],"Transport, Outer Membrane Porin",0,0
649,Erythrose 4-phosphate dehydrogenase,unknown, (-1) e4p[c] +  (-1) h2o[c] +  (-1) nad[c] <=>  (1) 4per[c] +  (1) nadh[c],Cofactor and Prosthetic Group Biosynthesis,-52.87721197,2.69127988
650,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0),1.3.1.9, (-1) nadh[c] +  (-1) tdec2eACP[c] <=>  (1) dcaACP[c] +  (1) nad[c],Cell Envelope Biosynthesis,-55.72527439,1.344413771
651,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0),1.3.1.10, (-1) nadph[c] +  (-1) tdec2eACP[c] <=>  (1) dcaACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-53.71627235,1.344413771
652,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0),1.3.1.9, (-1) nadh[c] +  (-1) tddec2eACP[c] <=>  (1) ddcaACP[c] +  (1) nad[c],Cell Envelope Biosynthesis,-55.72527439,1.344413416
653,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0),1.3.1.10, (-1) nadph[c] +  (-1) tddec2eACP[c] <=>  (1) ddcaACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-53.71627235,1.344413416
654,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1),1.3.1.9, (-1) nadh[c] +  (-1) t3c5ddeceACP[c] <=>  (1) cddec5eACP[c] +  (1) nad[c],Cell Envelope Biosynthesis,-55.72569279,1.344413771
655,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1),1.3.1.10, (-1) nadph[c] +  (-1) t3c5ddeceACP[c] <=>  (1) cddec5eACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-53.71669075,1.344413771
656,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0),1.3.1.9, (-1) nadh[c] +  (-1) tmrs2eACP[c] <=>  (1) myrsACP[c] +  (1) nad[c],Cell Envelope Biosynthesis,-55.72569279,1.344413416
657,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0),1.3.1.10, (-1) nadph[c] +  (-1) tmrs2eACP[c] <=>  (1) myrsACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-53.71669075,1.344413416
658,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1),1.3.1.9, (-1) nadh[c] +  (-1) t3c7mrseACP[c] <=>  (1) nad[c] +  (1) tdeACP[c],Cell Envelope Biosynthesis,-46.63971839,2.305466963
659,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1),1.3.1.10, (-1) nadph[c] +  (-1) t3c7mrseACP[c] <=>  (1) nadp[c] +  (1) tdeACP[c],Cell Envelope Biosynthesis,-44.63071635,2.305466963
660,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0),1.3.1.9, (-1) nadh[c] +  (-1) tpalm2eACP[c] <=>  (1) nad[c] +  (1) palmACP[c],Cell Envelope Biosynthesis,-55.72569279,1.344413771
661,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0),1.3.1.10, (-1) nadph[c] +  (-1) tpalm2eACP[c] <=>  (1) nadp[c] +  (1) palmACP[c],Cell Envelope Biosynthesis,-53.71669075,1.344413771
662,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1),1.3.1.9, (-1) nadh[c] +  (-1) t3c9palmeACP[c] <=>  (1) hdeACP[c] +  (1) nad[c],Cell Envelope Biosynthesis,-55.72527439,1.344414125
663,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1),1.3.1.10, (-1) nadph[c] +  (-1) t3c9palmeACP[c] <=>  (1) hdeACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-53.71627235,1.344414125
664,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0),1.3.1.9, (-1) nadh[c] +  (-1) toctd2eACP[c] <=>  (1) nad[c] +  (1) ocdcaACP[c],Cell Envelope Biosynthesis,-55.72527439,1.344413416
665,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0),1.3.1.10, (-1) nadph[c] +  (-1) toctd2eACP[c] <=>  (1) nadp[c] +  (1) ocdcaACP[c],Cell Envelope Biosynthesis,-53.71627235,1.344413416
666,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1),1.3.1.9, (-1) nadh[c] +  (-1) t3c11vaceACP[c] <=>  (1) nad[c] +  (1) octeACP[c],Cell Envelope Biosynthesis,-46.63971839,2.305466963
667,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1),1.3.1.10, (-1) nadph[c] +  (-1) t3c11vaceACP[c] <=>  (1) nadp[c] +  (1) octeACP[c],Cell Envelope Biosynthesis,-44.63071635,2.305466963
668,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0),1.3.1.9, (-1) but2eACP[c] +  (-1) nadh[c] <=>  (1) butACP[c] +  (1) nad[c],Cell Envelope Biosynthesis,-55.72527439,1.344412707
669,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0),1.3.1.10, (-1) but2eACP[c] +  (-1) nadph[c] <=>  (1) butACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-53.71627235,1.344412707
670,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0),1.3.1.9, (-1) nadh[c] +  (-1) thex2eACP[c] <=>  (1) hexACP[c] +  (1) nad[c],Cell Envelope Biosynthesis,-55.72527439,1.344413771
671,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0),1.3.1.10, (-1) nadph[c] +  (-1) thex2eACP[c] <=>  (1) hexACP[c] +  (1) nadp[c],Cell Envelope Biosynthesis,-53.71627235,1.344413771
672,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0),1.3.1.9, (-1) nadh[c] +  (-1) toct2eACP[c] <=>  (1) nad[c] +  (1) ocACP[c],Cell Envelope Biosynthesis,-55.72569279,1.344413416
673,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0),1.3.1.10, (-1) nadph[c] +  (-1) toct2eACP[c] <=>  (1) nadp[c] +  (1) ocACP[c],Cell Envelope Biosynthesis,-53.71669075,1.344413416
674,enterobacterial common antigen (x4) core oligosaccharide lipid A transport (periplasm to extracellular),unknown, (-1) eca4colipa[p] <=>  (1) eca4colipa[e],Lipopolysaccharide Biosynthesis / Recycling,0,0
675,enterobacterial common antigen (x4) O-antigen ligase (periplasm),unknown, (-1) colipa[p] +  (-1) eca4und[p] <=>  (1) eca4colipa[p] +  (1) udcpdp[p],Lipopolysaccharide Biosynthesis / Recycling,-73.64672316,2.220023995
676,enterobacterial common antigen polymerase (periplasm),unknown, (-2) unagamuf[p] <=>  (1) eca2und[p] +  (1) udcpdp[p],Lipopolysaccharide Biosynthesis / Recycling,-18.13576161,1.81506748
677,enterobacterial common antigen polymerase (periplasm),unknown, (-1) eca2und[p] +  (-1) unagamuf[p] <=>  (1) eca3und[p] +  (1) udcpdp[p],Lipopolysaccharide Biosynthesis / Recycling,-19.52853008,1.81506748
678,enterobacterial common antigen polymerase (periplasm),unknown, (-1) eca3und[p] +  (-1) unagamuf[p] <=>  (1) eca4und[p] +  (1) udcpdp[p],Lipopolysaccharide Biosynthesis / Recycling,-20.92114291,1.81506748
679,"enterobacterial common antigen transferase (flippase, cytoplasm to periplasm)",unknown, (-1) unagamuf[c] <=>  (1) unagamuf[p],Lipopolysaccharide Biosynthesis / Recycling,0,0
680, 3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),4.2.1.17, (-1) 3hbcoa[c] <=>  (1) b2coa[c] +  (1) h2o[c],Membrane Lipid Metabolism,3.7940512,2.324844903
681, 3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),4.2.1.17, (-1) 3hhcoa[c] <=>  (1) h2o[c] +  (1) hx2coa[c],Membrane Lipid Metabolism,1.029264,3.770240241
682, 3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),4.2.1.17, (-1) 3hocoa[c] <=>  (1) h2o[c] +  (1) oc2coa[c],Membrane Lipid Metabolism,-0.6288552,1.230057306
683, 3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),4.2.1.17, (-1) 3hdcoa[c] <=>  (1) dc2coa[c] +  (1) h2o[c],Membrane Lipid Metabolism,-0.6288552,1.230057306
684, 3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA),4.2.1.17, (-1) 3hddcoa[c] <=>  (1) dd2coa[c] +  (1) h2o[c],Membrane Lipid Metabolism,-0.6288552,1.230057306
685, 3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),4.2.1.17, (-1) 3htdcoa[c] <=>  (1) h2o[c] +  (1) td2coa[c],Membrane Lipid Metabolism,-0.6288552,1.230057306
686, 3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA),4.2.1.17, (-1) 3hhdcoa[c] <=>  (1) h2o[c] +  (1) hdd2coa[c],Membrane Lipid Metabolism,-0.6288552,1.230057306
687, 3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),4.2.1.17, (-1) 3hodcoa[c] <=>  (1) h2o[c] +  (1) od2coa[c],Membrane Lipid Metabolism,-0.6288552,1.230057306
688, 2-dehydro-3-deoxy-phosphogluconate aldolase,4.1.2.14, (-1) 2ddg6p[c] <=>  (1) g3p[c] +  (1) pyr[c],Pentose Phosphate Pathway,19.0109546,2.570477725
689, 6-phosphogluconate dehydratase,4.2.1.12, (-1) 6pgc[c] <=>  (1) 2ddg6p[c] +  (1) h2o[c],Pentose Phosphate Pathway,-40.30465493,3.225226937
690,Endotoxin Synthesis (lauroyl transferase),unknown, (-1) ddcaACP[c] +  (-1) kdo2lipid4[c] <=>  (1) ACP[c] +  (1) kdo2lipid4L[c],Lipopolysaccharide Biosynthesis / Recycling,-6.253248695,1.949252384
691,Endotoxin Synthesis (myristoyl transferase),unknown, (-1) kdo2lipid4L[c] +  (-1) myrsACP[c] <=>  (1) ACP[c] +  (1) lipa[c],Lipopolysaccharide Biosynthesis / Recycling,-6.252929186,1.949252564
692,Endotoxin Synthesis (palmitoleoyl ACP),unknown, (-1) hdeACP[c] +  (-1) kdo2lipid4[c] <=>  (1) ACP[c] +  (1) kdo2lipid4p[c],Lipopolysaccharide Biosynthesis / Recycling,-6.253248695,1.949252865
693,Endotoxin Synthesis (myristoyl transferase),unknown, (-1) kdo2lipid4p[c] +  (-1) myrsACP[c] <=>  (1) ACP[c] +  (1) lipa-cold[c],Lipopolysaccharide Biosynthesis / Recycling,0,1000000
694,phosphoethanolamine lipid A transport via vector (periplasm to extracellular),unknown, (-1) enlipa[p] <=>  (1) enlipa[e],Lipopolysaccharide Biosynthesis / Recycling,0,0
695,enolase,4.2.1.11, (-1) 2pg[c] <=>  (1) h2o[c] +  (1) pep[c],Glycolysis/Gluconeogenesis,-4.14091489,1.06995047
696,enterochelin synthase,unknown, (-3) 23dhba[c] +  (-3) seramp[c] <=>  (6) amp[c] +  (1) enter[c],Cofactor and Prosthetic Group Biosynthesis,0,1000000
697,Enterochelin Esterase,unknown, (-1) enter[c] +  (-3) h2o[c] <=>  (3) 23dhbzs[c],Inorganic Ion Transport and Metabolism,-4.408778402,21.08971304
698,Enterochelin Esterase (Fe containing),unknown, (-1) feenter[c] +  (-3) h2o[c] <=>  (3) 23dhbzs[c] +  (1) fe3[c],Inorganic Ion Transport and Metabolism,0,1000000
699,Ethanolamine ammonia-lyase,4.3.1.7, (-1) etha[c] <=>  (1) acald[c] +  (1) nh4[c],Cell Envelope Biosynthesis,-32.41235436,3.584992555
700,ethanolamine transport in via proton symport,unknown, (-1) etha[p] <=>  (1) etha[c],"Transport, Inner Membrane",0,0
701,ethanolamine transport via diffusion (extracellular),unknown, (-1) etha[e] <=>  (1) etha[p],"Transport, Outer Membrane Porin",0,0
702,ethanesulfonate transport via ABC system (periplasm),unknown, (-1) atp[c] +  (-1) ethso3[p] +  (-1) h2o[c] <=>  (1) adp[c] +  (1) ethso3[c] +  (1) pi[c],"Transport, Inner Membrane",-29.4361481,1.459542669
703,ethanesulfonate transport via diffusion (extracellular to periplasm),unknown, (-1) ethso3[e] <=>  (1) ethso3[p],"Transport, Outer Membrane Porin",0,0
704,ethanol reversible transport via proton symport (periplasm),unknown, (-1) etoh[p] <=>  (1) etoh[c],"Transport, Inner Membrane",0,0
705,ethanol transport via diffusion (extracellular to periplasm),unknown, (-1) etoh[e] <=>  (1) etoh[p],"Transport, Outer Membrane Porin",0,0
706,"(R)-Propane-1,2-diol exchange",unknown, (-1) 12ppd-DASH-R[e] <=> ,,0,1000000
707,"(S)-Propane-1,2-diol exchange",unknown, (-1) 12ppd-DASH-S[e] <=> ,,0,1000000
708," 1,4-alpha-D-glucan exchange",unknown, (-1) 14glucan[e] <=> ,,0,1000000
709," 1,5-Diaminopentane exchange",unknown, (-1) 15dap[e] <=> ,,0,1000000
710," 2',3'-Cyclic AMP exchange",unknown, (-1) 23camp[e] <=> ,,0,1000000
711," 2',3'-Cyclic CMP exchange",unknown, (-1) 23ccmp[e] <=> ,,0,1000000
712," 2',3'-Cyclic GMP exchange",unknown, (-1) 23cgmp[e] <=> ,,0,1000000
713," 2',3'-Cyclic UMP exchange",unknown, (-1) 23cump[e] <=> ,,0,1000000
714," 2,3-diaminopropionate exchange",unknown, (-1) 23dappa[e] <=> ,,0,1000000
715,"meso-2,6-Diaminoheptanedioate exchange",unknown, (-1) 26dap-DASH-M[e] <=> ,,0,1000000
716, 2-Dehydro-3-deoxy-D-gluconate exchange,unknown, (-1) 2ddglcn[e] <=> ,,0,1000000
717," 3,4-Dihydroxyphenylacetaldehyde exchange",unknown, (-1) 34dhpac[e] <=> ,,0,1000000
718, 3'-AMP exchange,unknown, (-1) 3amp[e] <=> ,,0,1000000
719, 3'-cmp exchange,unknown, (-1) 3cmp[e] <=> ,,0,1000000
720, 3'-GMP exchange,unknown, (-1) 3gmp[e] <=> ,,0,1000000
721, 3-hydroxycinnamic acid exchange,unknown, (-1) 3hcinnm[e] <=> ,,0,1000000
722, 3-(3-hydroxy-phenyl)propionate exchange,unknown, (-1) 3hpppn[e] <=> ,,0,1000000
723, 3'-UMP exchange,unknown, (-1) 3ump[e] <=> ,,0,1000000
724, 4-Aminobutanoate exchange,unknown, (-1) 4abut[e] <=> ,,0,1000000
725, 4-Hydroxyphenylacetaldehyde exchange,unknown, (-1) 4hoxpacd[e] <=> ,,0,1000000
726, 5-Dehydro-D-gluconate exchange,unknown, (-1) 5dglcn[e] <=> ,,0,1000000
727,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine exchange",unknown, (-1) LalaDgluMdapDala[e] <=> ,,0,1000000
728,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate exchange",unknown, (-1) LalaDgluMdap[e] <=> ,,0,1000000
729,Acetate exchange,unknown, (-1) ac[e] <=> ,,0,1000000
730,Acetoacetate exchange,unknown, (-1) acac[e] <=> ,,0,1000000
731,Acetaldehyde exchange,unknown, (-1) acald[e] <=> ,,0,1000000
732,N-Acetyl-D-galactosamine 1-phosphate exchange,unknown, (-1) acgal1p[e] <=> ,,0,1000000
733,N-Acetyl-D-galactosamine exchange,unknown, (-1) acgal[e] <=> ,,0,1000000
